id,timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,approx_altitude,absolute_humidity,createdAt,updatedAt
1664103,Sun Jan 14 2024 07:01:12 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.63,71.26,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664104,Sun Jan 14 2024 07:01:12 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.64,71.28,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664105,Sun Jan 14 2024 07:01:12 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.63,71.27,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664106,Sun Jan 14 2024 07:01:13 GMT+0700 (Western Indonesia Time),0.16,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.64,71.28,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664107,Sun Jan 14 2024 07:01:13 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.64,71.25,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664108,Sun Jan 14 2024 07:01:13 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.63,71.27,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664109,Sun Jan 14 2024 07:01:13 GMT+0700 (Western Indonesia Time),0,0,0,0,0,0,65414,78680,29,58.1,26.53,997.37,26.63,71.25,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664110,Sun Jan 14 2024 07:01:13 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.64,71.25,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664111,Sun Jan 14 2024 07:01:14 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.66,71.24,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664112,Sun Jan 14 2024 07:01:14 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.64,71.24,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664113,Sun Jan 14 2024 07:01:14 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.66,71.19,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664114,Sun Jan 14 2024 07:01:14 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.66,71.24,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664115,Sun Jan 14 2024 07:01:14 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.61,71.22,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664116,Sun Jan 14 2024 07:01:15 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.66,71.24,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664117,Sun Jan 14 2024 07:01:15 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.66,71.22,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664118,Sun Jan 14 2024 07:01:15 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.66,71.24,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664119,Sun Jan 14 2024 07:01:15 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.35,26.63,71.2,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
